FIPS,LCSPP21
28101,390.3
28103,390.3
28105,390.3
28107,390.3
28109,393.75
28111,393.75
28113,390.3
28115,385.98
28117,390.3
28119,390.3
28121,387.51
28123,390.3
28125,390.3
28127,387.51
28129,390.3
28131,397.28
28133,390.3
28135,390.3
28137,430.36
28139,385.98
28141,390.3
28143,430.36
28145,385.98
28147,390.3
28149,387.51
28151,390.3
28153,390.3
28155,390.3
28157,390.3
28159,390.3
28161,390.3
28163,390.3
29001,495.15
29003,447.94
29005,447.94
29007,492.24
29009,394
29011,417.63
29013,440.55
29015,457.22
29017,489.26
29019,492.24
29021,447.94
29023,489.26
29025,447.94
29027,492.24
29029,492.24
29031,489.26
29033,447.94
29035,443.4
29037,374.44
29039,436.98
29041,492.24
29043,394
29045,566.77
29047,374.44
29049,431.84
29051,492.24
29053,492.24
29055,443.4
29057,409.46
29059,409.46
29061,447.94
29063,447.94
29065,443.4
29067,409.46
29069,489.26
29071,336.78
29073,492.24
29075,447.94
29077,394
29079,447.94
29081,447.94
29083,440.55
29085,409.46
29087,447.94
29089,492.24
29091,443.4
29093,443.4
29095,374.44
29097,417.63
29099,336.78
29101,440.55
29103,495.15
29105,409.46
29107,440.55
29109,394
29111,566.77
29113,336.78
29115,495.15
29117,447.94
29119,417.63
29121,495.15
29123,489.26
29125,492.24
29127,566.77
29129,447.94
29131,492.24
29133,489.26
29135,492.24
29137,492.24
29139,492.24
29141,492.24
29143,489.26
29145,417.63
29147,447.94
29149,443.4
29151,492.24
29153,409.46
29155,489.26
29157,489.26
29159,457.22
29161,443.4
29163,495.15
29165,374.44
29167,409.46
29169,443.4
29171,495.15
29173,495.15
29175,492.24
29177,431.84
29179,443.4
29181,443.4
29183,336.78
29185,461.88
29186,336.78
29187,336.78
29189,336.78
29195,457.22
29197,566.77
29199,566.77
29201,489.26
29203,443.4
29205,495.15
29207,489.26
29209,394
29211,495.15
29213,394
29215,443.4
29217,461.88
29219,336.78
29221,336.78
29223,489.26
29225,394
29227,447.94
29229,409.46
29510,336.78
30001,402.21
30003,402.21
30005,402.21
30007,420.18
30009,354.88
30011,402.21
30013,420.18
30015,420.18
30017,402.21
30019,402.21
30021,402.21
30023,420.18
30025,402.21
30027,402.21
30029,403.85
30031,420.18
30033,402.21
30035,402.21
30037,402.21
30039,402.21
30041,402.21
30043,420.18
30045,420.18
30047,403.85
30049,420.18
30051,402.21
30053,402.21
30055,402.21
30057,402.21
